artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
MINNIE,Like A Dream,4Kw1ykVLHoFQxOPSVd8R2E,61,2pHkxVNynHBwQHhGaoBIXX,51,[],588796,0.539,0.517,-5.244,0.0282,0.321,0.0,0.181,0.217,132.319,249217,4
BIG Naughty,Freestylin',1zexYchw3GBGGUssrBQ8YV,41,7cEaNXXTHx3LokbjUUyHal,59,['k-pop ballad'],420307,0.852,0.4,-11.947,0.128,0.112,0.0,0.111,0.424,117.068,181433,4
OVAN,Nightmare,795zVVktKQsiwSJAN3XhBE,33,4FuRHFtCeoYaeeVDKyyvbS,40,"['k-rap', 'korean r&b']",84090,0.592,0.662,-4.737,0.2,0.664,0.0,0.186,0.597,84.952,230373,4
HOMIES,K.I.A,6e9podWTgLKMzBzdWfq7FX,37,3PpfvyyncoZ79IgYe0Uls0,49,['korean underground rap'],90713,0.878,0.671,-5.273,0.1,0.491,0.0,0.234,0.745,136.044,189920,4
Post Malone,I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB,84,246dkjvS1zLTtiykXe5h60,91,"['dfw rap', 'melodic rap', 'pop', 'rap']",45853554,0.644,0.874,-4.723,0.0265,0.0113,0.0,0.227,0.753,128.017,178206,4
Fleeky Bang,MY NAME IS (Feat. Tray B),7eMjdhp767PF9F8cAbIyJr,40,4whHCEnN1w4cexp2J7h4OC,44,['korean drill'],14826,0.849,0.77,-4.68,0.36,0.0769,0.0,0.0778,0.515,170.047,142602,4
Rad Museum,S/S,4fh1IH643m7h3rYt9YJvyT,44,6UdKtISMXYKSR8jcgtFePo,50,['korean r&b'],168226,0.647,0.767,-4.661,0.335,0.0592,0.0,0.437,0.622,89.879,205792,4
KISS OF LIFE,R.E.M,0RbfBh91M6Xh1OL1ZUJYF1,57,4TEK9tIkcoxib4GxT3O4ky,76,"['5th gen k-pop', 'k-pop girl group']",1536088,0.734,0.593,-4.143,0.0513,0.405,0.0,0.104,0.497,137.922,172773,4
JAEHYUN,Flamin' Hot Lemon,2xIWN1KS7FNFTDGcFOvoR3,55,0qQI2kmsvSe2ex9k94T5vu,68,[],940449,0.756,0.727,-2.755,0.0466,0.0766,0.00203,0.0844,0.745,92.033,168453,4
AKMU,Hero,1hXs7BduDW3yGSSwolP8eh,48,6OwKE9Ez6ALxpTaKcT5ayv,63,['k-pop'],1810445,0.655,0.434,-8.616,0.0382,0.624,0.0,0.221,0.663,135.723,200061,4
MINHO,Something About U,24YG1HU0EHgR5lNl2qksmK,46,08uRwDeNv1d7FSwlOUZdSn,54,['k-pop'],220857,0.709,0.786,-5.536,0.167,0.00431,0.0,0.129,0.827,110.072,194667,4
"Tyler, The Creator",Noid,1tnZxHryc2wWtjUZC1LQw5,78,4V8LLVI7PbaPR0K2TGSxFF,95,"['hip hop', 'rap']",17873698,0.38,0.77,-5.993,0.242,0.473,0.000151,0.243,0.47,82.157,287693,4
Linkin Park,Two Faced,5Hh2VJj7bOWGsN0Jw6smwt,74,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.51,0.945,-5.405,0.0807,0.000658,4.8e-06,0.0413,0.323,91.906,183584,4
Linkin Park,Stained,0J1IJsMbKWb5g2sJArTkGF,79,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.516,0.868,-5.148,0.0969,0.0134,0.0,0.509,0.375,91.97,185415,4
DAY6,I'm Fine,1l8MduTqOzwfr9f53JY5o1,35,5TnQc2N1iKlFjYD7CPGvFc,71,"['k-pop', 'k-pop boy group']",3452217,0.505,0.951,-3.21,0.0819,0.000121,0.0,0.199,0.653,76.479,195616,4
Shawn Mendes,The Mountain,1ATWVZj4ukcMcQHRZ6KxvU,69,7n2wHs1TKAczGzO7Dd2rGr,86,"['canadian pop', 'pop', 'viral pop']",43732800,0.472,0.261,-14.116,0.036,0.721,0.000241,0.114,0.481,90.601,175751,4
TZUYU,Run Away,6NIyJr2UWLcY950uAcv2Dx,33,1arCVYXeStgCY2UazBNBLK,61,[],188952,0.761,0.892,-2.588,0.0717,0.0244,0.0,0.123,0.592,129.984,198320,4
Linkin Park,Overflow,7diOv6wm3ngF7Vt6ubK0Sf,78,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.515,0.654,-6.349,0.0492,0.116,0.000103,0.0966,0.306,133.916,211027,4
Lil Baby,Insecurities,6afQ4fJDJ9QqU5BKIH99Ej,73,5f7VJjfbwm532GiveGC0ZK,87,"['atl hip hop', 'atl trap', 'rap', 'trap']",19033399,0.65,0.642,-5.332,0.04,0.00502,0.0,0.0855,0.186,111.907,127154,4
John Park,LIKE A DREAM,6oFKhdrV0J4uuwMQYe7SO6,45,4mbvd7ZJ2goftjy1L33LiB,47,['korean pop'],97649,0.537,0.599,-8.132,0.0318,0.665,6.1e-06,0.133,0.73,151.881,256247,4
