danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.81,0.538,-5.783,0.0357,0.53,0.0,0.0951,0.832,109.97,6CFPFnS9EcLs2I0nWqtWci,266840,4
0.762,0.491,-6.735,0.0283,0.263,0.0,0.186,0.367,116.045,5pbdWdGUFojHTCaEVW01wK,264040,4
0.619,0.709,-4.633,0.0395,0.00541,0.0,0.507,0.68,144.972,1IYaMVfidzSfvCUZYXhsU1,253400,4
0.407,0.558,-13.609,0.0552,0.0537,1.42e-06,0.34,0.777,71.815,3N4DI1vuTSX1tz7fa2NQZw,214947,4
0.577,0.668,-4.884,0.514,0.105,0.0,0.0924,0.702,60.709,2oWbOh3tLluqTdYL5OEDvs,257120,3
0.417,0.63,-7.24,0.0898,0.0209,0.0134,0.0543,0.341,94.214,2LMq1O0NiqGhPOlXo3McYQ,254533,4
0.51,0.417,-7.583,0.0263,0.111,6.36e-05,0.116,0.145,148.01,09ln4QumFqjIkfCFiW9aRk,276453,4
0.528,0.745,-7.683,0.0539,0.0424,1.68e-05,0.257,0.784,177.835,41OvINy2RjLet11iW849vX,208560,4
0.684,0.455,-8.216,0.0307,0.215,1.08e-06,0.263,0.487,97.956,174rZBKJAqD10VBnOjlQQ3,216893,4
0.617,0.716,-7.858,0.136,0.0056,0.0,0.408,0.496,104.014,0j2T0R9dR9qdJYsB7ciXhf,311867,4
0.584,0.696,-3.836,0.0694,0.000728,0.0,0.184,0.699,137.11,6sDP4912wjwB7BJhbSnjS1,153347,4
0.888,0.777,-6.262,0.0505,0.0961,3.14e-05,0.0514,0.876,118.998,1z7FW0nlEBGtQWQ19kz7qp,241520,4
0.426,0.784,-3.225,0.0421,0.306,0.0,0.0695,0.272,147.939,6xfL1KzGxg48ACVlQE9qXr,225213,3
0.525,0.933,-4.673,0.356,0.159,0.000241,0.311,0.457,122.631,2OXo0vKbu3ilgz4S5EOn60,223720,5
0.566,0.905,-5.093,0.0646,0.0045,0.0,0.21,0.792,83.0,1EHh1fC9FCKw31wotfXx7L,212253,4
0.641,0.552,-5.423,0.0283,0.027,4.63e-06,0.148,0.152,90.098,0mZ5GyrHG908lqrHaTw4hi,254524,4
0.604,0.605,-8.516,0.0352,0.115,1.22e-05,0.305,0.647,147.925,6reuJxDtjebwc9FB6rNpp0,285280,4
0.71,0.484,-7.415,0.049,0.22,3.93e-06,0.0879,0.576,109.95,49CP2usyaN98EdtrOWXnal,183667,4
0.788,0.844,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,6ic8OlLUNEATToEFU3xmaH,251240,4
0.499,0.857,-4.501,0.0374,0.00476,0.0,0.102,0.324,83.977,6xRMwzjtb7bEbDFYP97jQB,266587,4
0.886,0.259,-9.246,0.0423,0.731,5.49e-06,0.108,0.305,119.894,2E9KlM0BvKZKcZAQRu3OWV,135387,4
0.731,0.563,-4.046,0.131,0.191,0.000423,0.296,0.452,184.004,29TqbHtaTUjEDOBGJ5FNZX,240427,4
0.923,0.795,-3.61,0.117,0.0394,0.000565,0.101,0.588,123.021,33vzOPcd9FRirYGlCu32x4,242133,4
0.562,0.657,-8.074,0.0315,0.173,0.000272,0.102,0.266,127.808,3JHDtmFdX9kdx9wz0md98U,315360,4
0.662,0.693,-4.298,0.0698,0.134,0.0,0.145,0.655,86.009,5Lgcn7u07bHuqbOtXkN62u,252120,4
0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055,4E6cwWJWZw2zWf7VFbH7wf,258827,4
0.584,0.696,-3.836,0.0694,0.000728,0.0,0.184,0.699,137.11,6sDP4912wjwB7BJhbSnjS1,153347,4
0.694,0.709,-6.205,0.103,0.0966,0.0,0.267,0.566,114.966,0jTTjg6q4jsd2RhuHwTvLj,188000,4
0.846,0.649,-6.849,0.0534,0.000341,0.0,0.0623,0.496,114.976,2K1MhduqSRF4Q2agqEtnEh,218213,4
0.399,0.767,-3.732,0.0328,0.0242,0.0,0.306,0.507,135.943,4kf33kU0KAlkNBK9pNbYNU,249693,4
0.846,0.649,-6.849,0.0534,0.000341,0.0,0.0623,0.496,114.976,2K1MhduqSRF4Q2agqEtnEh,218213,4
0.774,0.653,-5.158,0.05,0.0912,0.0,0.151,0.818,120.01,4yHFxB8kzzeuNvoouR8N0N,244267,4
0.518,0.467,-7.536,0.162,0.248,0.0,0.0941,0.559,79.965,3goSVuTt3fDYDP6kRnFwuL,229413,4
0.852,0.927,-4.497,0.0581,0.0109,0.00268,0.054,0.887,107.993,37QOvoAg1EC0PgWnfMrRmi,171227,4
0.793,0.859,-3.774,0.0332,0.266,0.000356,0.133,0.964,129.911,1zusIxNqJu8i4g6P6hJ2Qa,219920,4
0.702,0.76,-3.174,0.0684,0.00226,0.0,0.132,0.696,129.996,1pXrR5Y9OgcIV2JEAl2lCB,179640,4
0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,1mea3bSkSGXuIRvnydlB5b,242373,4
0.672,0.685,-5.762,0.0499,0.00165,0.0,0.398,0.367,118.45,21pySLskKIKrhDziCX5ojQ,245680,4
0.59,0.903,-4.478,0.0363,0.0232,0.0,0.0786,0.542,107.023,5ecZWU5uQOiCVSnPxBZNmT,213453,4
0.709,0.725,-4.999,0.0556,0.208,4.54e-05,0.158,0.759,97.046,1mJ05BN0So26a14iib85aI,213360,4
0.653,0.864,-6.395,0.0325,0.00757,1.1e-06,0.0629,0.827,116.966,4O4hiA7KxHhzv3s0QIHDlz,227733,4
0.526,0.781,-3.673,0.0369,0.0613,0.0,0.121,0.358,142.06,7g8OpS827dAYU067lZaR0L,284707,4
0.68,0.687,-6.162,0.0709,0.0161,0.0,0.261,0.467,150.053,1IAzD1muglOxOcPbUHs70R,249533,4
0.387,0.479,-7.842,0.0315,0.434,0.0,0.119,0.804,67.911,2QE57N7D5SP8uEdxWt0zV7,129187,4
0.673,0.681,-5.693,0.118,0.52,0.0,0.235,0.707,171.864,34ceTg8ChN5HjrqiIYCn9Q,232000,4
0.775,0.66,-6.489,0.296,0.393,0.0,0.31,0.58,117.831,2KBuYzNoLTkwwXQhm6NuxG,288941,4
